facet;key;num;content;sign
O;Unco;5;I swim against the current.;pos(+)
O;Unco;4;I rebel against authority.;pos(+)
A;Pati;7;I get angry easily.;neg(-)
E;Anxi;4;I get upset by unpleasant thoughts that come into my mind.;pos(+)
H;Fair;3;I return extra change when a cashier makes a mistake.;pos(+)
O;AesA;2;I get deeply immersed in music.;pos(+)
X;Expr;9;I bottle up my feelings.;neg(-)
O;AesA;10;I do not enjoy watching dance performances.;neg(-)
C;Orga;5;I want everything to be just right.;pos(+)
E;Anxi;6;I rarely worry.;neg(-)
C;Perf;1;I pay attention to details.;pos(+)
H;Gree;10;I am out for my own personal gain.;pos(+)
X;Expr;2;I am never at a loss for words.;pos(+)
O;Unco;3;I do things that others find strange.;pos(+)
X;Soci;3;I love to chat.;pos(+)
H;Mode;5;I would like to have more power than other people.;neg(-)
C;Orga;4;I like to tidy up.;pos(+)
H;Gree;8;I try to impress others.;pos(+)
C;Perf;2;I continue until everything is perfect.;pos(+)
E;Fear;3;I would fear walking in a high-crime part of a city.;neg(-)
E;Depe;2;I let myself be influenced by others.;pos(+)
E;Fear;9;I would be good at rescuing people from a burning building.;pos(+)
X;SocB;7;I keep in the background.;neg(-)
X;SocB;9;I hate being the center of attention.;neg(-)
A;Pati;8;I get irritated easily.;pos(+)
X;Expr;5;I have an intense, boisterous laugh.;pos(+)
A;Gent;2;I take things as they come.;neg(-)
X;Soci;9;I am hard to get to know.;pos(+)
A;Gent;9;I have a sharp tongue.;neg(-)
C;Orga;7;I leave my belongings around.;neg(-)
E;Depe;8;I seek support.;pos(+)
X;Live;6;I laugh a lot.;pos(+)
O;AesA;3;I see beauty in things that others might not notice.;pos(+)
O;Unco;6;I would hate to be considered odd or strange.;neg(-)
A;Gent;10;I criticize others' shortcomings.;neg(-)
A;Flex;2;I am good at taking advice.;pos(+)
X;Live;3;I am usually active and full of energy.;pos(+)
X;Soci;8;I would not enjoy a job that involves a lot of social interaction.;neg(-)
C;Orga;9;I often forget to put things back in their proper place.;neg(-)
H;Sinc;9;I find it necessary to please the people who have power.;neg(-)
X;SocB;10;I have little to say.;neg(-)
X;Live;7;I feel that I have a lot of inner strength.;pos(+)
C;Dili;9;I hang around doing nothing.;neg(-)
E;Fear;1;I am a physical coward.;neg(-)
H;Fair;7;I cheat to get ahead.;neg(-)
X;Live;10;I often feel blue.;neg(-)
C;Orga;1;I keep things tidy.;pos(+)
E;Anxi;3;I get stressed out easily.;pos(+)
O;AesA;8;I do not like poetry.;neg(-)
H;Gree;4;I have a strong need for power.;pos(+)
C;Perf;7;I detect mistakes.;pos(+)
X;Soci;5;I enjoy being part of a group.;pos(+)
O;Unco;8;I like to be viewed as proper and conventional.;neg(-)
E;Depe;4;I need protection.;pos(+)
A;Gent;7;I find fault with everything.;neg(-)
C;Prud;6;I make rash decisions.;neg(-)
E;Depe;5;I often need help.;pos(+)
H;Sinc;2;I use flattery to get ahead.;neg(-)
O;Inqu;5;I find political discussions interesting.;pos(+)
A;Gent;3;I accept people as they are.;pos(+)
H;Mode;6;I believe that I am better than others.;neg(-)
C;Dili;3;I am exacting in my work.;pos(+)
C;Perf;5;I dislike imperfect work.;pos(+)
C;Prud;1;I avoid mistakes.;pos(+)
O;Unco;10;I try to avoid complex people.;neg(-)
O;Inqu;4;I love to read challenging material.;pos(+)
E;Fear;4;I tremble in dangerous situations.;neg(-)
E;Fear;6;I like to do frightening things.;pos(+)
X;Expr;1;I talk a lot.;pos(+)
X;Expr;7;I don't like to draw attention to myself.;neg(-)
C;Dili;8;I do too little work.;neg(-)
X;Soci;7;I rarely enjoy being with people.;neg(-)
H;Sinc;6;I play a role in order to impress people.;neg(-)
H;Fair;5;I try to follow the rules.;pos(+)
X;SocB;2;I don't mind being the center of attention.;pos(+)
C;Dili;2;I get started quickly on doing a job.;neg(-)
H;Mode;4;I consider myself an average person.;pos(+)
A;Flex;5;I get upset if others change the way that I have arranged things.;neg(-)
A;Forg;3;I am inclined to forgive others.;pos(+)
A;Gent;8;I speak ill of others.;neg(-)
H;Mode;9;I am likely to show off if I get the chance.;neg(-)
O;Unco;7;I enjoy being thought of as a normal mainstream person.;neg(-)
E;Anxi;8;I am not easily disturbed by events.;neg(-)
O;Crea;9;I have trouble guessing how others will react.;neg(-)
O;Crea;3;I carry the conversation to a higher level.;pos(+)
C;Orga;10;I am not bothered by disorder.;neg(-)
A;Forg;10;I feel that most people can't be trusted.;neg(-)
E;Anxi;9;I remain calm under pressure.;pos(+)
E;Anxi;5;I panic easily.;pos(+)
H;Sinc;8;I act like different people in different situations.;neg(-)
C;Dili;6;I do just enough work to get by.;neg(-)
C;Perf;6;I want everything to add up perfectly.;pos(+)
C;Prud;2;I make plans and stick to them.;pos(+)
A;Forg;4;I am nice to people I should be angry at.;pos(+)
A;Forg;6;I hold a grudge.;neg(-)
H;Fair;1;I would never take things that aren't mine.;neg(-)
O;AesA;7;I seldom notice the emotional aspects of paintings and pictures.;pos(+)
H;Fair;9;I cheat on people who have trusted me.;neg(-)
O;Unco;9;I like to be thought of as a normal kind of person.;neg(-)
O;Inqu;8;I avoid difficult reading material.;neg(-)
E;Fear;2;I begin to panic when there is danger.;neg(-)
H;Fair;2;I would never cheat on my taxes.;pos(+)
H;Sinc;4;I put on a show to impress people.;neg(-)
H;Mode;3;I am just an ordinary person.;pos(+)
A;Gent;5;I become frustrated and angry with people when they don't live up to my expectations.;neg(-)
C;Orga;2;I get chores done right away.;pos(+)
C;Prud;4;I jump into things without thinking.;neg(-)
X;Live;8;I have a lot of fun.;pos(+)
A;Forg;8;I get even with others.;neg(-)
H;Mode;8;I am more capable than most others.;neg(-)
E;Anxi;2;I worry about things.;pos(+)
A;Flex;8;I can't stand being contradicted.;neg(-)
E;Sent;8;I am seldom bothered by the apparent suffering of strangers.;pos(+)
E;Sent;3;I cry during movies.;pos(+)
X;SocB;4;I have leadership abilities.;pos(+)
C;Orga;6;I leave a mess in my room.;neg(-)
A;Flex;7;I am annoyed by others' mistakes.;neg(-)
E;Sent;2;I immediately feel sad when hearing of an unhappy event.;pos(+)
C;Dili;10;I quickly lose interest in the tasks I start.;neg(-)
C;Dili;5;I complete tasks successfully.;pos(+)
O;Inqu;1;I am interested in science.;pos(+)
C;Orga;3;I like order.;pos(+)
C;Prud;3;I do things according to a plan.;pos(+)
E;Depe;6;I show my sadness.;pos(+)
H;Sinc;3;I tell other people what they want to hear so that they will do what I want them to do.;neg(-)
A;Pati;9;I lose my temper.;neg(-)
C;Prud;7;I act impulsively when something is bothering me.;neg(-)
O;Inqu;9;I don't bother worrying about political and social problems.;pos(+)
A;Pati;6;I am easily annoyed.;neg(-)
O;AesA;9;I do not like concerts.;neg(-)
H;Sinc;1;I don't pretend to be more than I am.;pos(+)
O;Crea;4;I am full of ideas.;pos(+)
